City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,anchau,10.9597,8.3916,27.230000000000018,57,23,3.1,NG,2023-05-26
154,howrah,22.5892,88.3103,33.0,66,40,2.57,IN,2023-05-26
155,margate,51.3813,1.3862,12.720000000000027,69,12,4.02,GB,2023-05-26
156,uturoa,-16.7333,-151.4333,27.75,76,38,5.08,PF,2023-05-26
157,lensk,60.7253,114.9278,15.53000000000003,28,100,2.51,RU,2023-05-26
158,severobaykal'sk,55.65,109.3167,4.8700000000000045,72,100,0.33,RU,2023-05-26
159,geraldton,-28.7667,114.6,23.230000000000018,25,100,3.6,AU,2023-05-26
160,port lincoln,-34.7333,135.8667,14.610000000000014,67,100,6.06,AU,2023-05-26
161,isoka,-10.1606,32.6335,20.010000000000048,60,51,1.86,ZM,2023-05-26
162,dudinka,69.4058,86.1778,3.680000000000007,100,100,7.06,RU,2023-05-26
163,wucheng,29.6008,118.175,28.350000000000023,81,98,1.53,CN,2023-05-26
164,livingstone,-17.8419,25.8543,24.660000000000025,32,0,2.47,ZM,2023-05-26
165,rongelap,11.1635,166.8941,28.05000000000001,78,100,8.24,MH,2023-05-26
166,puerto natales,-51.7236,-72.4875,-0.6099999999999568,86,19,3.04,CL,2023-05-26
167,catriel,-37.8791,-67.7956,7.689999999999998,61,0,1.92,AR,2023-05-26
168,port alfred,-33.5906,26.891,14.54000000000002,70,34,4.02,ZA,2023-05-26
169,nogliki,51.8333,143.1667,9.360000000000014,74,97,1.67,RU,2023-05-26
170,victorica,-36.2151,-65.4359,12.090000000000032,91,12,2.41,AR,2023-05-26
171,ust-nera,64.5667,143.2,7.270000000000039,52,94,0.19,RU,2023-05-26
172,coquimbo,-29.9533,-71.3436,14.850000000000023,88,75,2.57,CL,2023-05-26
173,walvis bay,-22.9575,14.5053,11.720000000000027,93,75,4.12,NA,2023-05-26
174,kili,5.6439,169.1211,28.08000000000004,78,27,4.77,MH,2023-05-26
175,colonia,50.9333,6.95,13.810000000000002,77,20,2.06,DE,2023-05-26
176,island harbour,50.724,-1.2758,12.770000000000039,79,6,4.02,GB,2023-05-26
177,saipan,15.1355,145.701,29.390000000000043,100,40,6.17,MP,2023-05-26
178,natchez,31.5604,-91.4032,20.120000000000005,77,20,2.06,US,2023-05-26
179,nar'yan-mar,67.6713,53.087,15.700000000000045,89,100,6.8,RU,2023-05-26
180,san juan de miraflores,-12.1629,-76.9635,20.29000000000002,84,100,4.05,PE,2023-05-26
181,palm beach gardens,26.8234,-80.1386,22.99000000000001,94,75,0.0,US,2023-05-26
182,umluj,25.0213,37.2685,30.439999999999998,53,74,2.93,SA,2023-05-26
183,saint-pierre,-21.3393,55.4781,26.430000000000007,61,0,8.75,RE,2023-05-26
